hospital_name,hospital_type,address,hq_city,hq_state,hq_zip,county,state,state_fips,county_fips,fips,licensed_beds,staffed_beds,icu_beds,adult_icu_beds,pedi_icu_beds,bed_utilization,avg_ventilator_usage,increase_in_bed_capacity
"""DW McMillan Memorial Hospital""","""Short Term Acute Care Hospital""","""1301 Belleville Ave""","""Brewton""","""AL""","""36426""","""Escambia""","""Alabama""","""01""","""053""","""01053""",91,46,8,8,0,0.33484218,2,45
"""Atmore Community Hospital""","""Short Term Acute Care Hospital""","""401 Medical Park Dr""","""Atmore""","""AL""","""36502""","""Escambia""","""Alabama""","""01""","""053""","""01053""",51,49,6,6,0,0.3566117,2,2
"""Gadsden Regional Medical Center""","""Short Term Acute Care Hospital""","""1007 Goodyear Ave""","""Gadsden""","""AL""","""35903""","""Etowah""","""Alabama""","""01""","""055""","""01055""",346,222,40,40,0,0.73435766,8,124
"""Riverview Regional Medical Center""","""Short Term Acute Care Hospital""","""600 S 3rd St""","""Gadsden""","""AL""","""35901""","""Etowah""","""Alabama""","""01""","""055""","""01055""",281,256,45,45,0,0.25446275,6,25
"""Fayette Medical Center (FKA Weimer Medical Center)""","""Short Term Acute Care Hospital""","""1653 Temple Ave N""","""Fayette""","""AL""","""35555""","""Fayette""","""Alabama""","""01""","""057""","""01057""",61,45,8,8,0,0.23293759,2,16
"""Russellville Hospital""","""Short Term Acute Care Hospital""","""15155 Highway 43""","""Russellville""","""AL""","""35653""","""Franklin""","""Alabama""","""01""","""059""","""01059""",100,49,7,7,0,0.3553257,2,51
"""Red Bay Hospital""","""Critical Access Hospital""","""211 Hospital Rd""","""Red Bay""","""AL""","""35582""","""Franklin""","""Alabama""","""01""","""059""","""01059""",25,25,4,4,0,0.26641095,1,0
"""Wiregrass Medical Center""","""Short Term Acute Care Hospital""","""1200 W Maple Ave""","""Geneva""","""AL""","""36340""","""Geneva""","""Alabama""","""01""","""061""","""01061""",83,73,6,6,0,0.13143179,2,10
"""Greene County Hospital""","""Short Term Acute Care Hospital""","""509 Wilson Ave""","""Eutaw""","""AL""","""35462""","""Greene""","""Alabama""","""01""","""063""","""01063""",20,20,4,4,0,0.24164383,0,0
"""Hale County Hospital""","""Short Term Acute Care Hospital""","""508 Greene St""","""Greensboro""","""AL""","""36744""","""Hale""","""Alabama""","""01""","""065""","""01065""",39,28,5,5,0,0.26086107,0,11
"""Flowers Hospital""","""Short Term Acute Care Hospital""","""4370 W Main St""","""Dothan""","""AL""","""36305""","""Houston""","""Alabama""","""01""","""069""","""01069""",235,235,26,26,6,0.61429322,8,0
"""Southeast Health (FKA Southeast Alabama Medical Center)""","""Short Term Acute Care Hospital""","""1108 Ross Clark Cir""","""Dothan""","""AL""","""36302""","""Houston""","""Alabama""","""01""","""069""","""01069""",420,342,40,40,16,0.77072817,8,78
"""Highlands Medical Center""","""Short Term Acute Care Hospital""","""380 Woods Cove Rd""","""Scottsboro""","""AL""","""35768""","""Jackson""","""Alabama""","""01""","""071""","""01071""",170,92,10,10,0,0.62826902,2,78
"""St Vincents Birmingham""","""Short Term Acute Care Hospital""","""810 Saint Vincents Dr""","""Birmingham""","""AL""","""35205""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",409,399,83,83,30,0.53783363,13,10
"""Princeton Baptist Medical Center""","""Short Term Acute Care Hospital""","""701 Princeton Ave Sw""","""Birmingham""","""AL""","""35211""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",505,279,33,33,12,0.69173664,9,226
"""Grandview Medical Center (FKA Trinity Medical Center)""","""Short Term Acute Care Hospital""","""3690 Grandview Pkwy""","""Birmingham""","""AL""","""35243""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",402,373,72,72,12,0.70658082,8,29
"""St Vincents East (FKA Medical Center East)""","""Short Term Acute Care Hospital""","""50 Medical Park Dr E""","""Birmingham""","""AL""","""35235""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",362,309,44,44,0,0.69054943,12,53
"""UAB Callahan Eye Hospital""","""Short Term Acute Care Hospital""","""1720 University Blvd""","""Birmingham""","""AL""","""35233""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",106,12,2,2,0,0.05913242,0,94
"""Helen Keller Hospital""","""Short Term Acute Care Hospital""","""1300 S Montgomery Ave""","""Sheffield""","""AL""","""35660""","""Colbert""","""Alabama""","""01""","""033""","""01033""",185,178,12,12,0,0.38922581,4,7
"""UAB Hospital""","""Short Term Acute Care Hospital""","""1802 6th Ave S""","""Birmingham""","""AL""","""35233""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",1157,1100,85,85,106,0.8154819,29,57
"""Medical West Hospital""","""Short Term Acute Care Hospital""","""995 9th Ave Sw""","""Bessemer""","""AL""","""35022""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",310,187,21,21,0,0.45702147,3,123
"""Birmingham VA Medical Center""","""VA Hospital""","""700 19th St S""","""Birmingham""","""AL""","""35233""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",313,131,0,0,null,null,0,182
"""Brookwood Baptist Medical Center (FKA Brookwood Medical Center)""","""Short Term Acute Care Hospital""","""2010 Brookwood Medical Ctr Dr""","""Birmingham""","""AL""","""35209""","""Jefferson""","""Alabama""","""01""","""073""","""01073""",595,425,26,26,32,0.4073489,8,170
"""North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital)""","""Short Term Acute Care Hospital""","""1701 Veterans Dr""","""Florence""","""AL""","""35630""","""Lauderdale""","""Alabama""","""01""","""077""","""01077""",263,223,36,36,0,0.7035948,6,40
"""Lawrence Medical Center""","""Short Term Acute Care Hospital""","""202 Hospital St""","""Moulton""","""AL""","""35650""","""Lawrence""","""Alabama""","""01""","""079""","""01079""",98,43,6,6,0,0.15132208,2,55
"""East Alabama Medical Center - Opelika""","""Short Term Acute Care Hospital""","""2000 Pepperell Pkwy""","""Opelika""","""AL""","""36801""","""Lee""","""Alabama""","""01""","""081""","""01081""",314,299,20,20,0,0.68810189,10,15
"""Athens-Limestone Hospital""","""Short Term Acute Care Hospital""","""700 W Market St""","""Athens""","""AL""","""35611""","""Limestone""","""Alabama""","""01""","""083""","""01083""",71,66,10,10,0,0.49176189,3,5
"""Huntsville Hospital""","""Short Term Acute Care Hospital""","""101 Sivley Rd SW""","""Huntsville""","""AL""","""35801""","""Madison""","""Alabama""","""01""","""089""","""01089""",881,887,67,67,46,0.67195249,21,-6
"""Crestwood Medical Center""","""Short Term Acute Care Hospital""","""1 Hospital Dr""","""Huntsville""","""AL""","""35801""","""Madison""","""Alabama""","""01""","""089""","""01089""",180,190,16,16,3,0.55890137,3,-10
"""Whitfield Regional Hospital (FKA Bryan W Whitfield Memorial Hospital)""","""Short Term Acute Care Hospital""","""105 Us Highway 80 E""","""Demopolis""","""AL""","""36732""","""Marengo""","""Alabama""","""01""","""091""","""01091""",99,37,5,5,0,0.36645687,2,62
"""Northwest Medical Center""","""Short Term Acute Care Hospital""","""1530 Us Highway 43""","""Winfield""","""AL""","""35594""","""Marion""","""Alabama""","""01""","""093""","""01093""",71,42,4,4,0,0.22015655,2,29
"""North Mississippi Medical Center - Hamilton""","""Short Term Acute Care Hospital""","""1256 Military St S""","""Hamilton""","""AL""","""35570""","""Marion""","""Alabama""","""01""","""093""","""01093""",49,36,4,4,0,0.23843227,1,13
"""Marshall Medical Center South""","""Short Term Acute Care Hospital""","""2505 Us Highway 431""","""Boaz""","""AL""","""35957""","""Marshall""","""Alabama""","""01""","""095""","""01095""",150,150,20,20,0,0.43511954,7,0
"""USA Health University Hospital (FKA University of South Alabama Medical Center)""","""Short Term Acute Care Hospital""","""2451 USA Medical Center Dr""","""Mobile""","""AL""","""36617""","""Mobile""","""Alabama""","""01""","""097""","""01097""",406,183,32,32,0,0.87147242,4,223
"""Providence Hospital""","""Short Term Acute Care Hospital""","""6801 Airport Blvd""","""Mobile""","""AL""","""36608""","""Mobile""","""Alabama""","""01""","""097""","""01097""",349,349,33,33,0,0.48205647,8,0
"""Mobile Infirmary""","""Short Term Acute Care Hospital""","""5 Mobile Infirmary Cir""","""Mobile""","""AL""","""36607""","""Mobile""","""Alabama""","""01""","""097""","""01097""",669,596,38,38,0,0.66353315,11,73
"""Springhill Medical Center""","""Short Term Acute Care Hospital""","""3719 Dauphin St""","""Mobile""","""AL""","""36608""","""Mobile""","""Alabama""","""01""","""097""","""01097""",263,188,20,20,0,0.77661031,5,75
"""USA Childrens & Womens Hospital""","""Childrens Hospital""","""1700 Center St""","""Mobile""","""AL""","""36604""","""Mobile""","""Alabama""","""01""","""097""","""01097""",152,101,118,118,118,0.62734205,1,51
"""Monroe County Hospital""","""Short Term Acute Care Hospital""","""2016 S Alabama Ave""","""Monroeville""","""AL""","""36460""","""Monroe""","""Alabama""","""01""","""099""","""01099""",94,49,8,8,0,0.11646631,2,45
"""Baptist Medical Center East""","""Short Term Acute Care Hospital""","""400 Taylor Rd""","""Montgomery""","""AL""","""36117""","""Montgomery""","""Alabama""","""01""","""101""","""01101""",150,150,12,12,25,0.69636494,2,0
"""Central Alabama Veterans Health Care System - West Campus""","""VA Hospital""","""215 Perry Hill Rd""","""Montgomery""","""AL""","""36109""","""Montgomery""","""Alabama""","""01""","""101""","""01101""",143,143,1,1,null,null,1,0
"""Baptist Medical Center South""","""Short Term Acute Care Hospital""","""2105 E South Blvd""","""Montgomery""","""AL""","""36116""","""Montgomery""","""Alabama""","""01""","""101""","""01101""",432,326,26,26,40,0.73047203,8,106
"""Jackson Hospital""","""Short Term Acute Care Hospital""","""1725 Pine St""","""Montgomery""","""AL""","""36106""","""Montgomery""","""Alabama""","""01""","""101""","""01101""",344,270,34,34,0,0.7106545,5,74
"""Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital)""","""Short Term Acute Care Hospital""","""1201 7th St SE""","""Decatur""","""AL""","""35601""","""Morgan""","""Alabama""","""01""","""103""","""01103""",273,266,23,23,0,0.42288098,3,7
"""Troy Regional Medical Center""","""Short Term Acute Care Hospital""","""1330 Highway 231 S""","""Troy""","""AL""","""36081""","""Pike""","""Alabama""","""01""","""109""","""01109""",97,41,9,9,0,0.33673197,2,56
"""Jack Hughston Memorial Hospital""","""Short Term Acute Care Hospital""","""4401 Riverchase Dr""","""Phenix City""","""AL""","""36867""","""Russell""","""Alabama""","""01""","""113""","""01113""",70,47,8,8,0,0.36496648,2,23
"""St Vincents St Clair""","""Short Term Acute Care Hospital""","""7063 Veterans Pkwy""","""Pell City""","""AL""","""35125""","""St. Clair""","""Alabama""","""01""","""115""","""01115""",40,40,6,6,0,0.44651639,2,0
"""Shelby Baptist Medical Center""","""Short Term Acute Care Hospital""","""1000 1st St N""","""Alabaster""","""AL""","""35007""","""Shelby""","""Alabama""","""01""","""117""","""01117""",252,212,32,32,0,0.57423109,6,40
"""Hill Hospital of Sumter County""","""Short Term Acute Care Hospital""","""751 Derby Dr""","""York""","""AL""","""36925""","""Sumter""","""Alabama""","""01""","""119""","""01119""",33,33,6,6,0,0.4234122,0,0
"""Coosa Valley Medical Center""","""Short Term Acute Care Hospital""","""315 W Hickory St""","""Sylacauga""","""AL""","""35150""","""Talladega""","""Alabama""","""01""","""121""","""01121""",168,122,8,8,0,0.25318015,2,46
"""Citizens Baptist Medical Center""","""Short Term Acute Care Hospital""","""604 Stone Ave""","""Talladega""","""AL""","""35160""","""Talladega""","""Alabama""","""01""","""121""","""01121""",122,103,6,6,0,0.20712861,2,19
"""Lake Martin Community Hospital""","""Short Term Acute Care Hospital""","""201 Mariarden Rd""","""Dadeville""","""AL""","""36853""","""Tallapoosa""","""Alabama""","""01""","""123""","""01123""",46,46,8,8,0,0.096366882,0,0
"""Russell Medical Center""","""Short Term Acute Care Hospital""","""3316 Highway 280""","""Alexander City""","""AL""","""35010""","""Tallapoosa""","""Alabama""","""01""","""123""","""01123""",81,43,6,6,0,0.45014337,2,38
"""DCH Regional Medical Center""","""Short Term Acute Care Hospital""","""809 University Blvd E""","""Tuscaloosa""","""AL""","""35401""","""Tuscaloosa""","""Alabama""","""01""","""125""","""01125""",583,524,52,52,51,0.7311095,31,59
"""Tuscaloosa VA Medical Center""","""VA Hospital""","""3701 Loop Road East""","""Tuscaloosa""","""AL""","""35404""","""Tuscaloosa""","""Alabama""","""01""","""125""","""01125""",96,96,0,0,null,null,0,0
"""Walker Baptist Medical Center""","""Short Term Acute Care Hospital""","""3400 Highway 78 E""","""Jasper""","""AL""","""35501""","""Walker""","""Alabama""","""01""","""127""","""01127""",267,207,12,12,0,0.29285949,4,60
"""Washington County Hospital""","""Critical Access Hospital""","""14600 Saint Stephens Ave""","""Chatom""","""AL""","""36518""","""Washington""","""Alabama""","""01""","""129""","""01129""",25,15,3,3,0,0.43178082,1,10
"""J Paul Jones Hospital""","""Short Term Acute Care Hospital""","""317 Mcwilliams Ave""","""Camden""","""AL""","""36726""","""Wilcox""","""Alabama""","""01""","""131""","""01131""",30,21,4,4,0,0.065753423,0,9
"""Lakeland Community Hospital""","""Short Term Acute Care Hospital""","""42024 Highway 195""","""Haleyville""","""AL""","""35565""","""Winston""","""Alabama""","""01""","""133""","""01133""",49,49,4,4,0,0.29197651,2,0
"""Providence Alaska Medical Center""","""Short Term Acute Care Hospital""","""3200 Providence Dr""","""Anchorage""","""AK""","""99508""","""Anchorage""","""Alaska""","""02""","""020""","""02020""",401,391,46,46,66,0.71726364,11,10
"""Alaska Regional Hospital""","""Short Term Acute Care Hospital""","""2801 Debarr Rd""","""Anchorage""","""AK""","""99508""","""Anchorage""","""Alaska""","""02""","""020""","""02020""",250,168,14,14,10,0.71379077,4,82
"""Alaska Native Medical Center""","""Short Term Acute Care Hospital""","""4315 Diplomacy Dr""","""Anchorage""","""AK""","""99508""","""Anchorage""","""Alaska""","""02""","""020""","""02020""",150,174,30,30,0,0.65020746,4,-24
"""Yukon-Kuskokwim Delta Regional Hospital""","""Short Term Acute Care Hospital""","""829 Chief Eddie Hoffman Hwy""","""Bethel""","""AK""","""99559""","""Bethel""","""Alaska""","""02""","""050""","""02050""",50,34,6,6,0,0.38920227,1,16
"""Maine VA Medical Center (AKA Togus VA Medical Center)""","""VA Hospital""","""1 Va Ctr""","""Augusta""","""ME""","""4330""","""Kennebec""","""Maine""","""23""","""011""","""23011""",67,67,2,2,null,null,2,0
"""Fairbanks Memorial Hospital""","""Short Term Acute Care Hospital""","""1650 Cowles St""","""Fairbanks""","""AK""","""99701""","""Fairbanks North Star""","""Alaska""","""02""","""090""","""02090""",152,122,13,13,0,0.35250393,2,30
"""Bartlett Regional Hospital""","""Short Term Acute Care Hospital""","""3260 Hospital Dr""","""Juneau""","""AK""","""99801""","""Juneau""","""Alaska""","""02""","""110""","""02110""",73,45,9,9,0,0.36596653,2,28
"""Central Peninsula Hospital""","""Short Term Acute Care Hospital""","""250 Hospital Pl""","""Soldotna""","""AK""","""99669""","""Kenai Peninsula""","""Alaska""","""02""","""122""","""02122""",49,49,6,6,0,0.63282079,2,0
"""Providence Seward Medical & Care Center""","""Critical Access Hospital""","""417 1st Ave""","""Seward""","""AK""","""99664""","""Kenai Peninsula""","""Alaska""","""02""","""122""","""02122""",6,6,1,1,0,0.15342465,0,0
"""South Peninsula Hospital""","""Critical Access Hospital""","""4300 Bartlett St""","""Homer""","""AK""","""99603""","""Kenai Peninsula""","""Alaska""","""02""","""122""","""02122""",22,21,4,4,0,0.37521201,1,1
"""PeaceHealth Ketchikan Medical Center""","""Critical Access Hospital""","""3100 Tongass Ave""","""Ketchikan""","""AK""","""99901""","""Ketchikan Gateway""","""Alaska""","""02""","""130""","""02130""",25,25,4,4,0,0.38246575,2,0
"""VA Maryland Health Care System - Baltimore VA Medical Center""","""VA Hospital""","""10 N Greene St""","""Baltimore""","""MD""","""21201""","""Baltimore City""","""Maryland""","""24""","""510""","""24510""",131,131,2,2,null,null,2,0
"""Providence Kodiak Island Medical Center""","""Critical Access Hospital""","""1915 E Rezanof Dr""","""Kodiak""","""AK""","""99615""","""Kodiak Island""","""Alaska""","""02""","""150""","""02150""",25,24,4,4,0,0.20947489,2,1
"""Mat-Su Regional Medical Center""","""Short Term Acute Care Hospital""","""2500 S Woodworth Loop""","""Palmer""","""AK""","""99645""","""Matanuska-Susitna""","""Alaska""","""02""","""170""","""02170""",125,109,14,14,0,0.40972728,3,16
"""Norton Sound Regional Hospital""","""Critical Access Hospital""","""1000 Greg Kruschek Ave""","""Nome""","""AK""","""99762""","""Nome""","""Alaska""","""02""","""180""","""02180""",18,18,3,3,0,0.40167427,1,0
"""Mt Edgecumbe Hospital""","""Critical Access Hospital""","""222 Tongass Dr""","""Sitka""","""AK""","""99835""","""Sitka""","""Alaska""","""02""","""220""","""02220""",25,27,4,4,0,0.33860984,1,-2
"""Wrangell Medical Center""","""Critical Access Hospital""","""310 Bennett St""","""Wrangell""","""AK""","""99929""","""Wrangell""","""Alaska""","""02""","""275""","""02275""",8,8,1,1,0,0.2875683,0,0
"""VA Central Western Massachusetts Healthcare System - Northampton VA Medical Center (AKA Edward P Boland Department of Veterans Affairs Medical Center)""","""VA Hospital""","""421 N Main St""","""Leeds""","""MA""","""1053""","""Hampshire""","""Massachusetts""","""25""","""015""","""25015""",145,145,0,0,null,null,0,0
"""Edith Nourse Rogers Memorial Veterans Hospital""","""VA Hospital""","""200 Springs Rd""","""Bedford""","""MA""","""1730""","""Middlesex""","""Massachusetts""","""25""","""017""","""25017""",65,65,1,1,null,null,1,0
"""Fort Defiance Indian Hospital""","""Short Term Acute Care Hospital""","""Intersection of Route 12 and 7""","""Fort Defiance""","""AZ""","""86504""","""Apache""","""Arizona""","""04""","""001""","""04001""",56,56,10,10,0,0.4590998,1,0
"""Chinle Comprehensive Health Care Facility""","""Short Term Acute Care Hospital""","""Highway 191""","""Chinle""","""AZ""","""86503""","""Apache""","""Arizona""","""04""","""001""","""04001""",60,60,11,11,0,0.22191781,1,0
